gene	BB09.rpkm	BB10.rpkm	BB17.rpkm	BB19.rpkm	BB20.rpkm	BB21.rpkm	BB11.rpkm	BB12.rpkm	BB18.rpkm	reflen
ptsN.t01	1990	1758	922	1325	1086	1026	1122	1890	766	492
yhbJ.t01	4808	4675	3488	3697	3475	2855	2883	4438	2014	855
npr.t01	243	190	64	76	106	150	220	674	102	273
yrbL.t01	1370	1247	638	1499	1214	1335	1967	2725	997	633
mtgA.t01	1016	1025	503	960	820	967	1648	2621	898	729
elbB.t01	2181	1949	1018	1088	996	1084	1186	2018	644	654
arcZ.r01	105	127	52	60	50	75	129	213	47	121
arcB.t01	3599	3043	1636	1619	1550	2113	2790	6592	1503	2337
yhcC.t01	760	595	242	275	230	419	686	2171	491	930
gltB.t01	4838	3890	1698	4030	3779	3900	4936	12182	4272	4461
gltD.t01	1346	1133	423	636	795	913	1334	3871	1126	1419
gltF.t01	701	567	222	218	170	347	646	2055	296	765
yhcA.t01	632	461	114	137	130	345	519	1853	332	675
yhcD.t01	2442	1863	860	1158	1162	1719	2440	6608	1257	2382
insH1.t01	0	0	0	0	0	0	0	0	0	1017
yhcF.t01	717	668	253	362	307	513	704	1960	378	717
yhcG.t01	900	762	157	244	333	445	787	3027	510	1128
yhcH.t01	384	314	138	95	86	179	383	1155	205	465
nanK.t01	832	620	351	305	278	380	619	1933	406	876
nanE.t01	750	599	240	230	236	313	545	1442	315	690
nanT.t01	1454	1153	504	396	430	692	1293	3592	718	1491
nanA.t01	2338	2051	1631	457	422	560	1008	2339	595	894
nanR.t01	981	745	398	364	293	534	735	2346	434	792
dcuD.t01	1114	949	360	281	300	551	1140	3400	719	1368
sspB.t01	1058	1034	662	503	494	554	718	1411	468	498
sspA.t01	1326	1223	707	675	546	695	758	1592	475	639
rpsI.t01	1411	1437	678	637	706	556	957	1294	442	393
rplM.t01	2645	2568	1483	1424	1138	1216	1457	2211	785	429
yhcM.t01	1075	952	398	548	453	642	1120	2740	656	1128
yhcB.t01	1593	1435	866	1044	923	894	1860	2135	1007	399
degQ.t01	4086	4039	2370	3357	3376	3791	3831	4865	1798	1368
degS.t01	1428	996	491	626	519	674	1113	2831	686	1068
mdh.t01	4387	3547	2395	5140	4623	3981	6199	4721	2908	939
argR.t01	4828	4830	2787	2735	2603	2355	5526	4000	1706	471
yhcN.t01	263	225	127	345	294	384	341	681	156	264
yhcO.t01	163	163	31	306	352	449	379	784	172	273
aaeB.t01	1555	1162	450	519	533	880	1322	4433	853	1968
aaeA.t01	694	752	184	399	401	482	1043	2378	521	933
aaeX.t01	222	185	73	99	61	122	158	460	86	204
aaeR.t01	744	690	173	310	232	520	570	2360	544	930
tldD.t01	1607	1242	658	736	742	889	1217	3618	902	1446
yhdP.t01	4595	4174	2127	2386	2252	3068	4586	10349	2618	3801
rng.t01	1487	1151	524	600	507	810	1269	3463	896	1470
yhdE.t01	581	459	188	246	198	313	487	1343	218	594
mreD.t01	346	257	124	143	135	191	311	1052	197	489
mreC.t01	1013	1010	576	405	416	527	1060	2395	520	1104
mreB.t01	1416	1056	692	681	609	804	1091	2607	596	1044
csrD.t01	1693	1110	521	868	695	1161	1582	4356	914	1941
acuI.t01	767	601	270	375	352	513	743	1803	466	975
accB.t01	3964	3493	2472	800	751	607	1308	1864	730	471
accC.t01	15338	15086	9838	3415	3303	2724	4927	5539	2524	1350
yhdT.t01	191	152	97	48	52	60	140	444	60	243
panF.t01	1371	973	403	523	443	741	1222	2876	787	1452
prmA.t01	1127	897	523	434	371	472	640	2094	478	882
dusB.t01	2969	2660	1634	1202	1094	879	2008	3066	1136	966
fis.t01	1827	1749	1150	725	629	522	1223	1056	513	297
yhdJ.t01	605	361	217	140	146	373	601	1757	276	885
yhdU.t01	406	449	447	111	169	184	670	588	173	180
acrS.t01	760	674	431	228	245	335	1044	1764	354	663
acrE.t01	762	447	166	172	185	386	516	2334	330	1158
acrF.t01	2113	1426	520	621	647	1060	1799	6702	1084	3105
